Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,interaction,Time to Initiate Action,Time after Ending Action,Callout,TARS Performer Role,TARS Supporter Role,Condition Type,Condition Function,Monitor Scope
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, autopilot mode, ATC communication status.",prompt_next_checklist,0,is_acked,Next Checklist : ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST,TARS will announce next checklist then proceed to start,TARS will display next checklist and wait,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,TARS displays checklist progress.,TARS announces next checklist step before execution.,Pilot can override TARS actions via voice command.,"Engine status, fuel levels, system alerts.",prompt_start_checklist,5,5,Starting ENGINE FAILURE / PRECAUTIONARY SHUTDOWN CHECKLIST,TARS will announce starting checklist then proceed to start,TARS will display next checklist and wait,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,yellow,yellow,green,,TARS displays engine status and monitor pilot's actions.,,,"Engine RPM, fuel flow, oil pressure, and temperature.",,0,is_sensed,,TARS will check if affected engine throttle is cutoff,TARS will display failed engine side,continuous,is_throttle_cutoff,end_of_procedure
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,green,green,green,,,,Pilot can override TARS actions; TARS prompts pilot for confirmation.,"Engine status, checklist steps, ATC communication status, autopilot engagement.",,0,45,"""If possible, the engines should remain at idle for a minimum of two minutes prior to shutdown to allow the engine inter-turbine temperatures to stabilize and avoid turbine blade rub.
If the engine windmills for more than fifteen minutes without a positive indication of oil pressure, a notation is required in the engine logbook and the engine must be inspected in accordance with the
pratt and whitney engine maintenance manual.
If the engine windmills for more than fifteen minutes with the firewall shutoff closed or the boost pump turned off, the engine fuel pump must be inspected in accordance with the Pratt and Whitney Engine
Maintenance Manual.""",TARS will read the caution text,TARS will display the caution text,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,green,green,red,,TARS displays GEN switch status and monitor pilot's actions.,,,"GEN switch status, engine parameters, checklist steps.",,0,is_acked,GEN Switch {engine_failed_side} OFF,,TARS will announce affected engine side,transition,is_gen_switch_off,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,green,green,red,,TARS displays IGN switch status and monitor pilot's actions.,,,"Ignition switch status, engine performance data.",,0,is_acked,GEN Switch {engine_failed_side} NORM,,TARS will announce affected engine side,transition,is_ignition_switch_norm,next_task
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),yellow,yellow,yellow,yellow,TARS must display current electrical load and recommendations.,Human must anticipate TARS's suggestions for load reduction.,Human can command TARS to suggest specific load reduction actions.,"Current electrical load, available systems to shed, load reduction targets.",,0,is_acked,Checking electrical load,,TARS will display current electrical load and safe limit,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,yellow,yellow,green,,TARS must display fuel transfer status to pilot.,,,"Fuel levels, transfer knob position, engine status.",,0,is_acked,,TARS will check the fuel quantity and set fuel transfer to balance if necessary,TARS will suggest action,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,green,green,red,,Human sees TARS status on ENGINE FIRE switch engagement.,Human anticipates TARS will verify switch engagement.,Human can override TARS actions via verbal command.,"ENGINE FIRE switch status, engine parameters.",,0,is_acked,,,TARS will announce affected engine side,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,Next checklist,SINGLE-ENGINE APPROACH AND LANDING,green,green,green,,TARS displays checklist progress.,TARS anticipates pilot's checklist initiation.,Pilot can command TARS to adjust checklist priorities; TARS suggests checklist priorities.,"Engine status, checklist steps, autopilot settings, ATC communications.",prompt_next_checklist,0,is_acked,"Checklist finished, Next checklist Single-Engine approach and landing",TARS will announce next checklist then proceed to start,TARS will display next checklist and wait,,,
