Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Criticality,Execution type,Constraint type,Time constraint (in s)
AFTER TAKEOFF,NORM,Checklist,Switch / Lever,Altimeters (transition altitude),SET STD,green,green,green,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,System Check,Altimeters (transition altitude),CROSSCHECK,green,green,green,,,,,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Checklist,ANNOUNCE COMPLETED,green,green,green,,"The autonomous agent should be able to observe the status of the checklist completion through the avionics systems. It should be able to perceive when the checklist is completed and is ready to proceed to the next step of the procedure. The pilot should also be able to observe the status of the autonomous agent's actions, such as whether it has acknowledged the completion of the checklist.","The autonomous agent should be able to predict that once the checklist is completed, the pilot will announce it. Similarly, the pilot should be able to predict that the autonomous agent will acknowledge the completion of the checklist and be ready to proceed to the next step of the procedure.",,,,,
AFTER TAKEOFF,NORM,Checklist,Checklist Mgmt,Next Checklist,ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,green,green,green,,,,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,ORDER START,yellow,yellow,green,,"The autonomous agent should be able to observe the actions of the human pilot and the status of the aircraft's systems. The human pilot should be able to perceive the actions and intentions of the autonomous agent, especially when it is announcing the start checklist. The interface should provide clear and concise information about the checklist and the actions taken by the agent.", The autonomous agent actions should follow a logical sequence that is understandable to the pilot.,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,SOP,Checklist Mgmt,Checklist,RETRIEVE,green,green,green,,,,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Throttle (affected engine),CUTOFF,yellow,yellow,red,,"High - The autonomous agent needs to be able to observe the actions and status of the human pilot and the engine systems in real-time to identify when the throttle affected engine cutoff task needs to be initiated. This includes monitoring the engine status, pilot's actions, and any relevant alerts or warnings. Especially, the autonomous agent's need to verify if the throttle picked by the pilot is the failed engine's",,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Other,CAUTION text,READ,green,green,green,,,,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,GEN Switch (affected side),OFF,green,green,red,,"The agent needs to be able to monitor the status of the switch, the actions of the pilot, and the overall status of the aircraft systems to ensure that the procedure is being followed correctly and to provide support when necessary.",,"Low - As the autonomous agent cannot perform the task of turning off the generator switch, its ability to direct the actions of the human pilot is limited. However, the agent can provide guidance and reminders to the pilot about the procedure, and can alert the pilot if the switch is not turned off when it should be.",,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,IGNITION switch (affected side),NORM,green,green,red,,"The autonomous agent needs to have a high level of observability to monitor the human pilot's actions and the status of the ignition switch on the affected side. It should be able to perceive whether the pilot has set the switch to NORM or not, and if the pilot is struggling or forgetting to do so.",,"The agent should be able to provide support, such as reminding the pilot to set the ignition switch to NORM or alerting the pilot if the switch is not set correctly.",,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Electrical Load,REDUCE as required (<= 300A),yellow,yellow,red,,The autonomous agent needs to monitor the electrical load and the status of the engine continuously. It should be able to perceive the actions of the human pilot in reducing the electrical load and understand the status of the electrical systems. The human pilot also needs to be aware of the autonomous agent's actions and recommendations.,The autonomous agent's actions should be predictable to the human pilot. It should follow a set of predefined rules and procedures to assist the pilot in reducing the electrical load.,The autonomous agent should be able to influence the human pilot's actions by providing recommendations and alerts.,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Switch / Lever,Fuel TRANSFER Knob,AS REQUIRED,yellow,yellow,red,,"The autonomous agent needs to be able to observe the human pilot's actions and status, especially in relation to the fuel transfer knob. It should be able to perceive if the pilot is struggling with the task or if the task has been completed successfully. This can be achieved through status of the fuel transfer knob.",,"The autonomous agent can support the pilot by providing information, reminders or suggestions.",,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,System Check,Verify ENGINE FIRE Switch (affected side),Is pushed,green,green,green,,The autonomous agent needs to be able to observe whether the engine fire switch for the affected side has been pushed or not.,,,,,,
ENGINE FAILURE/PRECAUTIONARY SHUTDOWN,ABNORM,Checklist,Checklist Mgmt,"Next checklist",SINGLE-ENGINE APPROACH AND LANDING,green,green,green,,The autonomous agent needs to be able to monitor the completion status of the current checklist and the readiness for the next single engine approach and landing checklist.,,,,,,
